Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709390403,1,,Aggregated,3.200000,0.000000,10,44,74,460,930,1700,2000,2000,2000,2000,2000,30,0,10,236.63560250001865,4.151335000187828,1995.3856470001483,1637.2333333333333
1709390404,1,POST,/postData,0.571429,0.000000,66,74,76,76,80,80,80,80,80,80,80,8,0,49,57.587454874919786,35.713484000098106,79.55523100008577,131.75
1709390404,1,GET,/randStr,2.142857,0.000000,8,9,9,10,15,130,130,130,130,130,130,20,0,7,13.569668500031185,4.151335000187828,126.11271000014312,2616.25
1709390404,1,GET,/slow,0.714286,0.000000,930,1700,1700,1700,2000,2000,2000,2000,2000,2000,2000,7,0,930.0,1169.1276780000928,458.7879850000718,1995.3856470001483,0.0
1709390404,1,,Aggregated,3.428571,0.000000,11,49,76,460,930,1700,2000,2000,2000,2000,2000,35,0,11,254.74247871430376,4.151335000187828,1995.3856470001483,1525.1142857142856
1709390405,2,POST,/postData,0.750000,0.000000,66,68,74,76,80,80,80,80,80,80,80,9,0,66,58.79949577769771,35.713484000098106,79.55523100008577,136.0
1709390405,2,GET,/randStr,2.250000,0.000000,8,9,9,10,15,19,130,130,130,130,130,22,0,7,13.483355727285842,4.151335000187828,126.11271000014312,2752.0
1709390405,2,GET,/slow,0.750000,0.000000,1100,1700,1700,1700,2000,2000,2000,2000,2000,2000,2000,8,0,930.0,1161.054943125123,458.7879850000718,1995.3856470001483,0.0
1709390405,2,,Aggregated,3.750000,0.000000,15,66,76,460,1100,1700,2000,2000,2000,2000,2000,39,0,15,259.3402264871936,4.151335000187828,1995.3856470001483,1583.7948717948718
1709390406,2,POST,/postData,0.666667,0.000000,49,55,59,66,74,76,80,80,80,80,80,22,0,44,49.12424731814595,30.931849999888072,79.55523100008577,126.63636363636364
1709390406,2,GET,/randStr,2.000000,0.000000,7,8,9,9,11,15,19,19,19,19,19,31,0,7,11.676835677433466,4.151335000187828,126.11271000014312,2657.3548387096776
1709390406,2,GET,/slow,0.666667,0.000000,930,1100,1700,1700,2000,2000,2000,2000,2000,2000,2000,10,0,810.0,1038.8879000000998,398.96885400003157,1995.3856470001483,0.0
1709390406,2,,Aggregated,3.333333,0.000000,31,37,56,68,700,1700,1700,2000,2000,2000,2000,63,0,33,187.80308487302614,4.151335000187828,1995.3856470001483,1351.8095238095239
1709390407,2,POST,/postData,0.800000,0.000000,36,53,55,59,74,76,80,80,80,80,80,29,0,36,45.59052334478361,30.931849999888072,79.55523100008577,124.37931034482759
1709390407,2,GET,/randStr,2.000000,0.000000,7,7,8,9,10,11,19,19,19,19,19,43,0,7,10.227891883724348,4.151335000187828,126.11271000014312,2653.5116279069766
1709390407,2,GET,/slow,0.700000,0.000000,1000,1100,1700,1700,2000,2000,2000,2000,2000,2000,2000,11,0,930.0,1036.9682968182794,398.96885400003157,1995.3856470001483,0.0
1709390407,2,,Aggregated,3.500000,0.000000,33,36,54,59,700,1100,1700,2000,2000,2000,2000,83,0,19,158.65753967469814,4.151335000187828,1995.3856470001483,1418.1686746987953
1709390408,2,POST,/postData,1.900000,0.000000,36,49,55,56,68,76,80,80,80,80,80,32,0,36,44.791329156211646,30.931849999888072,79.55523100008577,130.34375
1709390408,2,GET,/randStr,2.500000,0.000000,7,8,8,9,9,10,19,19,19,19,19,53,0,7,9.718836396226628,4.151335000187828,126.11271000014312,2719.1132075471696
1709390408,2,GET,/slow,0.800000,0.000000,1000,1100,1700,1700,1700,2000,2000,2000,2000,2000,2000,13,0,930.0,1017.9058869231575,398.96885400003157,1995.3856470001483,0.0
1709390408,2,,Aggregated,5.200000,0.000000,19,36,49,56,700,1100,1700,2000,2000,2000,2000,98,0,10,154.91017746938604,4.151335000187828,1995.3856470001483,1513.1020408163265
1709390409,2,POST,/postData,2.200000,0.000000,36,39,54,55,66,74,80,80,80,80,80,34,0,36,44.32827973526882,30.931849999888072,79.55523100008577,129.1764705882353
1709390409,2,GET,/randStr,3.000000,0.000000,7,8,9,9,10,11,19,19,19,19,19,59,0,7,9.59092449151501,4.151335000187828,126.11271000014312,2645.7118644067796
1709390409,2,GET,/slow,0.800000,0.000000,1000,1100,1600,1600,1700,2000,2000,2000,2000,2000,2000,15,0,930.0,1027.6866444000916,398.96885400003157,1995.3856470001483,0.0
1709390409,2,,Aggregated,6.000000,0.000000,11,36,39,55,590,1100,1700,2000,2000,2000,2000,108,0,10,161.92894187036944,4.151335000187828,1995.3856470001483,1486.0092592592594
1709390410,2,POST,/postData,2.700000,0.000000,36,39,54,55,66,74,80,80,80,80,80,34,0,36,44.32827973526882,30.931849999888072,79.55523100008577,129.1764705882353
